Local Time	System Time	Position X	Position Y	Position Z	Distance 1	Distance 2	Distance 3	Distance 4	Distance 5	Distance 6	Distance 7	Distance 8
2850833	2819980	5.089000225	2.165999889	-1.011000037	5.604000092	7.800000191	6.982999802	4.550000191	5.236999989	7.747000217	6.889999866	4.269999981
2850853	2820000	5.090000153	2.154000044	-1.13499999	5.598999977	7.879000187	7.052999973	4.55700016	5.255000114	7.78000021	6.867000103	4.265999794
2850873	2820020	5.105999947	2.174999952	-1.215999961	5.688000202	7.855999947	6.982999802	4.56799984	5.257999897	7.711999893	6.867000103	4.256000042
2850893	2820040	5.109000206	2.157000065	-1.00999999	5.587999821	7.886000156	7.025000095	4.517000198	5.250999928	7.790999889	6.854000092	4.247000217
2850913	2820060	5.098999977	2.151000023	-0.9800000191	5.559999943	7.852000237	7.02699995	4.539999962	5.257999897	7.772999763	6.875999928	4.244999886
2850933	2820080	5.120999813	2.15199995	-1.014999986	5.629000187	7.921000004	6.965000153	4.53399992	5.296000004	7.769999981	6.879000187	4.201000214
2850953	2820100	5.125	2.171000004	-1.044999957	5.642000198	7.84499979	6.958000183	4.543000221	5.328000069	7.68200016	6.860000134	4.184999943
2850973	2820120	5.150000095	2.174000025	-1.225999951	5.71999979	7.936999798	6.972000122	4.535999775	5.333000183	7.728000164	6.864999771	4.203000069
2850993	2820140	5.151000023	2.174999952	-0.9950000048	5.636000156	7.883999825	6.955999851	4.519999981	5.298999786	7.737999916	6.855999947	4.18200016
2851013	2820160	5.156000137	2.167999983	-1.110000014	5.664999962	7.909999847	6.987999916	4.510000229	5.364999771	7.735000134	6.833000183	4.15500021
2851033	2820180	5.153999805	2.15899992	-1.152999997	5.657999992	7.916999817	7.013000011	4.521999836	5.298999786	7.789000034	6.869999886	4.177999973
2851053	2820200	5.159999847	2.150000095	-1.182000041	5.688000202	7.919000149	7.025000095	4.478000164	5.353000164	7.742000103	6.855999947	4.164000034
2851073	2820220	5.168000221	2.15899992	-1.190000057	5.71999979	7.895999908	6.989999771	4.478000164	5.392000198	7.782000065	6.801000118	4.169000149
2851093	2820240	5.168000221	2.164000034	-1.184000015	5.717000008	7.869999886	7.004000187	4.456999779	5.401000023	7.763000011	6.855999947	4.164000034
2851113	2820260	5.173999786	2.16899991	-1.172000051	5.717000008	7.893000126	6.982999802	4.475999832	5.426000118	7.761000156	6.828999996	4.150000095
2851133	2820280	5.188000202	2.170000076	-1.18900001	5.729000092	7.947000027	6.960999966	4.504000187	5.443999767	7.772999763	6.828999996	4.131999969
2851153	2820300	5.18900013	2.154000044	-1.360000014	5.763000011	7.940000057	7.066999912	4.454999924	5.433000088	7.77699995	6.771999836	4.098999977
2851173	2820320	5.198999882	2.153000116	-1.284000039	5.768000126	7.940000057	7.011000156	4.449999809	5.472000122	7.830999851	6.820000172	4.129000187
2851193	2820340	5.217999935	2.178999901	-1.241999984	5.803999901	7.927999973	6.914999962	4.482999802	5.409999847	7.835000038	6.830999851	4.125
